Channel_DF_image	Count_SSC	DefinedGrid_Grid_Columns	DefinedGrid_Grid_Rows	DefinedGrid_Grid_XLocationOfLowestXSpot	DefinedGrid_Grid_XSpacing	DefinedGrid_Grid_YLocationOfLowestYSpot	DefinedGrid_Grid_YSpacing	ExecutionTime_01Images	ExecutionTime_02Metadata	ExecutionTime_03NamesAndTypes	ExecutionTime_04Groups	ExecutionTime_05DefineGrid	ExecutionTime_06IdentifyObjectsInGrid	ExecutionTime_07OverlayOutlines	ExecutionTime_08MeasureGranularity	ExecutionTime_09MeasureObjectIntensityDistribution	ExecutionTime_10MeasureTexture	ExecutionTime_11MeasureObjectIntensity	ExecutionTime_12MeasureObjectSizeShape	FileName_DF_image	Frame_DF_image	Granularity_1_DF_image	Granularity_2_DF_image	Granularity_3_DF_image	Granularity_4_DF_image	Granularity_5_DF_image	Group_Index	Group_Number	Height_DF_image	ImageNumber	ImageSet_ImageSet	MD5Digest_DF_image	Metadata_FileLocation	Metadata_Frame	Metadata_Series	ModuleError_01Images	ModuleError_02Metadata	ModuleError_03NamesAndTypes	ModuleError_04Groups	ModuleError_05DefineGrid	ModuleError_06IdentifyObjectsInGrid	ModuleError_07OverlayOutlines	ModuleError_08MeasureGranularity	ModuleError_09MeasureObjectIntensityDistribution	ModuleError_10MeasureTexture	ModuleError_11MeasureObjectIntensity	ModuleError_12MeasureObjectSizeShape	PathName_DF_image	ProcessingStatus	Scaling_DF_image	Series_DF_image	Texture_AngularSecondMoment_DF_image_3_0	Texture_AngularSecondMoment_DF_image_3_135	Texture_AngularSecondMoment_DF_image_3_45	Texture_AngularSecondMoment_DF_image_3_90	Texture_Contrast_DF_image_3_0	Texture_Contrast_DF_image_3_135	Texture_Contrast_DF_image_3_45	Texture_Contrast_DF_image_3_90	Texture_Correlation_DF_image_3_0	Texture_Correlation_DF_image_3_135	Texture_Correlation_DF_image_3_45	Texture_Correlation_DF_image_3_90	Texture_DifferenceEntropy_DF_image_3_0	Texture_DifferenceEntropy_DF_image_3_135	Texture_DifferenceEntropy_DF_image_3_45	Texture_DifferenceEntropy_DF_image_3_90	Texture_DifferenceVariance_DF_image_3_0	Texture_DifferenceVariance_DF_image_3_135	Texture_DifferenceVariance_DF_image_3_45	Texture_DifferenceVariance_DF_image_3_90	Texture_Entropy_DF_image_3_0	Texture_Entropy_DF_image_3_135	Texture_Entropy_DF_image_3_45	Texture_Entropy_DF_image_3_90	Texture_Gabor_DF_image_3	Texture_InfoMeas1_DF_image_3_0	Texture_InfoMeas1_DF_image_3_135	Texture_InfoMeas1_DF_image_3_45	Texture_InfoMeas1_DF_image_3_90	Texture_InfoMeas2_DF_image_3_0	Texture_InfoMeas2_DF_image_3_135	Texture_InfoMeas2_DF_image_3_45	Texture_InfoMeas2_DF_image_3_90	Texture_InverseDifferenceMoment_DF_image_3_0	Texture_InverseDifferenceMoment_DF_image_3_135	Texture_InverseDifferenceMoment_DF_image_3_45	Texture_InverseDifferenceMoment_DF_image_3_90	Texture_SumAverage_DF_image_3_0	Texture_SumAverage_DF_image_3_135	Texture_SumAverage_DF_image_3_45	Texture_SumAverage_DF_image_3_90	Texture_SumEntropy_DF_image_3_0	Texture_SumEntropy_DF_image_3_135	Texture_SumEntropy_DF_image_3_45	Texture_SumEntropy_DF_image_3_90	Texture_SumVariance_DF_image_3_0	Texture_SumVariance_DF_image_3_135	Texture_SumVariance_DF_image_3_45	Texture_SumVariance_DF_image_3_90	Texture_Variance_DF_image_3_0	Texture_Variance_DF_image_3_135	Texture_Variance_DF_image_3_45	Texture_Variance_DF_image_3_90	URL_DF_image	Width_DF_image
-1	225.0	15	15	27	55.0	27	55.0	0.0	0	1.59	0.0	0.03	0.12	0.16	2.56	6.6	3.43	0.56	7.54	ch4_CP0001.tif	0	1.02478741931	1.86949506172	3.59770551759	4.29755429401	4.12997776417	1	1	825	1	eLsa8ueJG01rgyutAUtm5MLZwFAPqAZclcI8AwwokCMxK10QA17xQoIKyAAHNZAGRoAdAMIhn3U=	0381b353652a5bbefe17642225942daa	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0001.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/++	Done	65535	0	0.858589084149	0.844423636997	0.84567465417	0.857845762285	0.0585136031851	0.0808203242936	0.0789022679241	0.0588896261889	0.567028108553	0.403599008581	0.417764405521	0.564436217266	0.207407896397	0.256929313756	0.252442532158	0.209823776199	0.0557922151502	0.0759960460705	0.0743018902014	0.0560881161389	0.379714554416	0.409660631384	0.407289593138	0.381418088672	0.0457396387039	-0.298364223677	-0.167966150239	-0.178528534042	-0.291188837536	0.35317752367	0.269040994467	0.277106194865	0.349178332631	0.974523489137	0.966374923492	0.967162202191	0.974125069435	2.11559831896	2.11590773202	2.11591069198	2.11563518396	0.337168932346	0.353215892179	0.351963995955	0.3380564517	0.211774535106	0.190206448801	0.192129738924	0.21151680328	0.0676159520323	0.06772701759	0.0678151516976	0.0676159520323	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0001.tif	825
-1	225.0	15	15	27	55.0	27	55.0	0.0	0	3.31	0.0	0.04	0.25	0.25	5.74	13.87	7.29	1.22	11.62	ch4_CP0002.tif	0	1.18639201747	2.23483845614	3.93029604285	4.83166905421	4.62040561343	2	1	825	2	eLsa8ueJG01rgyutAUtm5MLZwEgPqAZclcI8AwwokCMxK10QA17xQoIKyAAHNZAGRoAdAMJun3Y=	57cc3718412367706bc334eeabfa9823	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0002.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/++	Done	65535	0	0.822622155826	0.805820270337	0.807498619544	0.822980311187	0.080199071002	0.111547705732	0.109756927795	0.0799144731991	0.577496068474	0.412211236505	0.421647860346	0.578563587347	0.250900662962	0.308518835257	0.303340245606	0.250114158812	0.0756635256947	0.103567288788	0.102132074803	0.0754175757525	0.468540366091	0.503746969676	0.500846571379	0.467770688882	0.0891931209814	-0.295483358116	-0.168273543586	-0.178732035315	-0.297017056733	0.387267809422	0.297359321438	0.306096482182	0.388109288272	0.967576428184	0.957491505746	0.958516598891	0.967720546508	2.15352208214	2.15360286761	2.15360286761	2.15337609673	0.411096252409	0.429160806967	0.427379009636	0.410402544896	0.299437679727	0.268002526594	0.269793304532	0.299333547779	0.0948113429325	0.0949619511962	0.0947655484903	0.0947882738063	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0002.tif	825
-1	225.0	15	15	27	55.0	27	55.0	0.01	0	3.42	0.0	0.05	0.22	0.24	5.93	14.05	7.39	1.2	11.75	ch4_CP0003.tif	0	0.978831574855	1.78866694961	3.28801238786	4.11137620659	4.08442962193	3	1	825	3	eLsa8ueJG01rgyutAUtm5MLZwFgPqAZclcI8AwwokCMxK10QA17xQoIKyAAHNZAGRoAdAMK7n3c=	57cac891c3c87e8d5e12a54ff51edcf2	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0003.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/++	Done	65535	0	0.652090221802	0.627126325286	0.62605228993	0.650762508448	0.1699992627	0.24937988764	0.252026095039	0.17503059795	0.69684564995	0.556253261569	0.551544692721	0.687900447881	0.403051091971	0.491594455169	0.497067999784	0.408601118309	0.153068768975	0.21914148166	0.220811239659	0.157421114227	0.883417126184	0.949679280622	0.952664955392	0.887660763302	0.0540870184112	-0.359565387306	-0.23989724065	-0.234424435475	-0.351952590822	0.566701380072	0.477652405655	0.472788311978	0.561769513843	0.938811673372	0.920262381137	0.918892004753	0.937738340712	2.40077416501	2.40188904873	2.40188904873	2.40085969181	0.764040780025	0.79147548529	0.792607189982	0.765568547707	0.951536671184	0.874593787655	0.871947580257	0.946601929956	0.280329828809	0.280860089386	0.2807512966	0.28022104301	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0003.tif	825
-1	225.0	15	15	27	55.0	27	55.0	0.01	0	3.34	0.0	0.05	0.26	0.25	5.98	14.02	7.32	1.23	11.8	ch4_CP0004.tif	0	0.9273422792	1.71325563419	3.11576565693	4.02521621643	4.02781236767	4	1	825	4	eLsa8ueJG01rgyutAUtm5MLZwEQPqAZclcI8AwwokCMxK10QA17xQoIKyAAHNZAGRoAdAMMIn3g=	ef0016c1f010c9ea8d60a96709365eaa	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0004.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/++	Done	65535	0	0.678717152457	0.65398831485	0.652614571244	0.675633252814	0.138714148787	0.20629465845	0.207099768531	0.148537934085	0.704682681624	0.561343710883	0.559632376628	0.683297030826	0.365619865809	0.454598392538	0.456981858657	0.379845302291	0.125889751075	0.182346225181	0.182771481064	0.134259772153	0.806909110301	0.871900365194	0.874002463869	0.816517990401	0.0444104940058	-0.370657911368	-0.242019512642	-0.237682508963	-0.35020873041	0.554385778449	0.462058988636	0.458459131843	0.541398763868	0.945845386986	0.927594152847	0.92694676516	0.943071916755	2.35269040773	2.35342852576	2.35342852576	2.35238369092	0.706183130627	0.733762695363	0.73533611555	0.70996716033	0.800710117748	0.734279851939	0.733474741857	0.789486428908	0.234794680857	0.234878138646	0.234754972442	0.234180056194	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0004.tif	825
-1	225.0	15	15	27	55.0	27	55.0	0.0	0	0.99	0.0	0.1	0.48	0.68	4.96	13.91	7.02	1.37	12.9	ch4_CP0005.tif	0	1.01526312697	1.98985175245	3.58907815593	4.44468702369	4.37780157531	5	1	825	5	eLsa8ueJG01rgyutAUtm5MLZwFQPqAZclcI8AwwokCMxK10QA17xQoIKyAAHNZAGRoAdAMNVn3k=	6b56a6509f74bb51fc0d011429621371	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0005.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/++	Done	65535	0	0.784144594796	0.76478986013	0.765638813312	0.783621938676	0.0938361719384	0.132088372671	0.129208328153	0.093898105139	0.607903536008	0.449511637922	0.461515227134	0.607902326976	0.284465768271	0.349950292176	0.346368465148	0.286040724426	0.0874741012709	0.120785287154	0.118227671385	0.0874401702973	0.556122616138	0.598790088767	0.596771272979	0.557180502472	0.0278510034043	-0.313757182311	-0.188395367477	-0.194327736284	-0.311383131082	0.432489612826	0.342208412225	0.3473671568	0.431092032491	0.961507888029	0.949382822691	0.950015306982	0.961152112905	2.19669837057	2.19726972964	2.19726972964	2.19682813537	0.487377225411	0.508144743891	0.507615362039	0.488355251945	0.384801603851	0.347806849352	0.350686893869	0.385054305565	0.119772633975	0.119937661484	0.120164776727	0.119815267157	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0005.tif	825
-1	225.0	15	15	27	55.0	27	55.0	0.0	0	1.2	0.0	0.08	0.47	0.54	4.01	13.29	7.16	1.41	13.51	ch4_CP0006.tif	0	1.00850855251	2.02764184823	3.7008094021	4.27182356479	4.07006184038	6	1	825	6	eLsa8ueJG01rgyutAUtm5MLZwEwPqAZclcI8AwwokCMxK10QA17xQoIKyAAHNZAGRoAdAMOin3o=	99e88d2e5b74e59edba129a5e76b0388	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0006.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/++	Done	65535	0	0.805707390317	0.788320672493	0.787983725294	0.804454493769	0.0855636658556	0.120437956204	0.120991469385	0.087902381479	0.625014984597	0.473136844067	0.470715953409	0.61459310219	0.26342125481	0.323791384764	0.325678689311	0.268705169468	0.080391931982	0.111312001466	0.111724154506	0.0824490767825	0.511680060269	0.55066764437	0.551576767631	0.514929215744	0.0370843930968	-0.322500621566	-0.197835023686	-0.19477087845	-0.311932638073	0.422693288995	0.337483780514	0.335086023468	0.416335347895	0.965363798461	0.954632355556	0.954265076511	0.964444823902	2.17758755438	2.17798556722	2.17798556722	2.17758165598	0.450141535337	0.469850349783	0.470153323471	0.451697208007	0.370794003154	0.336750758809	0.336197245629	0.368250938459	0.114036206383	0.114245015358	0.114138238931	0.113933150237	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0006.tif	825
-1	225.0	15	15	27	55.0	27	55.0	0.0	0	0.88	0.0	0.03	0.17	0.23	4.86	14.28	7.55	1.31	11.98	ch4_CP0007.tif	0	0.967382145206	1.83575346842	3.16338799194	4.0922374361	4.37816286296	7	1	825	7	eLsa8ueJG01rgyutAUtm5MLZwFwPqAZclcI8AwwokCMxK10QA17xQoIKyAAHNZAGRoAdAMPvn3s=	5fabb37c006d85761a0476898f617670	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0007.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/++	Done	65535	0	0.674153664387	0.649721969731	0.648479741291	0.672213992889	0.156776524368	0.232844051361	0.231822863942	0.164779178648	0.701541041972	0.557821567199	0.559761049742	0.686311001146	0.383993503987	0.472860966578	0.475551848205	0.392968793549	0.142034056389	0.205886451447	0.204451569764	0.149025532572	0.833631417284	0.898675310579	0.900892779564	0.84017537002	0.0362263196341	-0.364551063876	-0.240359121134	-0.235904594615	-0.351612072605	0.557208647545	0.466583127814	0.46284171726	0.548907908737	0.942676422607	0.924405591938	0.923639275363	0.941005905027	2.3701098577	2.37111874782	2.37111874782	2.3700759419	0.723790517368	0.751059613149	0.752593223138	0.725900473904	0.89379654474	0.820323751807	0.821344939226	0.885810146854	0.262758627196	0.263235581556	0.263466992701	0.262706520801	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0007.tif	825
-1	225.0	15	15	27	55.0	27	55.0	0.0	0	1.54	0.0	0.11	0.54	0.82	8.3	14.43	7.27	1.36	10.69	ch4_CP0008.tif	0	1.00084644781	1.87687926361	3.42810415856	4.30742772751	4.37678379725	8	1	825	8	eLsa8ueJG01rgyutAUtm5MLZwEIPqAZclcI8AwwokCMxK10QA17xQoIKyAAHNZAGRoAdAMQ8n3w=	7ddc537d891c8a6dc39c99ffcca273a1	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0008.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/++	Done	65535	0	0.699859177253	0.675344389524	0.675217495826	0.697212815682	0.137341296173	0.199072347429	0.19953410174	0.14197743862	0.667569170145	0.519312543074	0.518196866659	0.657007515205	0.357350417401	0.441633500369	0.441898404818	0.366624649399	0.125311429451	0.177041662855	0.177456822558	0.12906371277	0.758142540902	0.818232916753	0.818570777086	0.765287915845	0.0491013275539	-0.348036040987	-0.220452732654	-0.219734859331	-0.333270176442	0.522936702674	0.428449906233	0.427805524581	0.513554581613	0.947854316891	0.930708465871	0.930676938295	0.945962681944	2.31531372115	2.31618034466	2.31618034466	2.31558799676	0.660383582026	0.687120510911	0.687186070507	0.663973675552	0.688942663136	0.629208126177	0.628746371866	0.685897101359	0.206345986662	0.207416151863	0.206964546441	0.207088475287	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0008.tif	825
-1	225.0	15	15	27	55.0	27	55.0	0.0	0	1.39	0.0	0.12	0.52	0.78	8.17	14.45	7.25	1.38	10.71	ch4_CP0009.tif	0	1.02009481683	1.89138731239	3.55124892527	4.56417659426	4.50941792736	9	1	825	9	eLsa8ueJG01rgyutAUtm5MLZwFIPqAZclcI8AwwokCMxK10QA17xQoIKyAAHNZAGRoAdAMSJn30=	2cd1f90bf11ca73a729e52031ecabd22	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0009.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/++	Done	65535	0	0.754859789704	0.732213035809	0.733803193067	0.752243845068	0.111439946914	0.163557224975	0.159487275117	0.11698001917	0.648073631896	0.484825473663	0.497644169425	0.631295179579	0.313908574804	0.391253214927	0.386088321992	0.323333627243	0.103085962654	0.148024402488	0.144534746243	0.107914137617	0.63353431774	0.685812134754	0.682577538477	0.64043594732	0.121635896548	-0.331826729833	-0.197955559165	-0.206553214278	-0.314886879943	0.472065554004	0.374114103699	0.381454176169	0.461457075179	0.956255944775	0.941478848789	0.942490910492	0.954527840208	2.24101599941	2.241720982	2.241720982	2.24129174961	0.553102225812	0.577771020537	0.576282150704	0.556447939703	0.521872948428	0.471399999368	0.475469949227	0.517565359327	0.158116316617	0.159047547554	0.158622282079	0.158731635826	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0009.tif	825
-1	225.0	15	15	27	55.0	27	55.0	0.0	0	0.73	0.0	0.05	0.17	0.3	4.39	12.73	7.44	1.42	14.45	ch4_CP0010.tif	0	0.995087882086	1.92376143455	3.6951707435	4.49560864766	4.0768098634	10	1	825	10	eLsa8ueJG01rgyutAUtm5MLZ0EAPqAZclcI8AwwokCMxK10QA17xQoIKyAAHNZAGRoAdAMIin3U=	2e16b44344b9cc09b9264bd7dae7005a	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0010.tif	0	0	0	0	0	0	0	0	0	0	0	0	0	0	/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/++	Done	65535	0	0.729823215833	0.707560654624	0.707802534645	0.728706068999	0.122761925828	0.177803529461	0.178058086324	0.127396593674	0.660259007841	0.509041502001	0.508338989274	0.647292378383	0.334683755907	0.411178327121	0.411351191826	0.339300456214	0.112775487547	0.159890600386	0.160126136565	0.117017636759	0.691570952426	0.745106249235	0.744931082349	0.695107924312	0.0283537893641	-0.342998662576	-0.217663236585	-0.218014065803	-0.333951997279	0.499009345871	0.408061946378	0.40841923393	0.49338703936	0.952268216737	0.937374422534	0.937354620598	0.951567087047	2.27532109415	2.27598255989	2.27598255989	2.27523999115	0.603351140256	0.627654821305	0.627259869035	0.604124356954	0.599917531271	0.546507835288	0.546253278424	0.594994255978	0.180706515897	0.181223072046	0.181296583684	0.180779165364	file:/Volumes/MoritzBertholdHD/CellData/featureExtractionCellProfiler/extracted_tifs_montages_ex3/%2B%2B/ch4_CP0010.tif	825
